Disease,weight
ngứa,1
phát ban da,3
nổi mụn nút trên da,4
hắt hơi liên tục,4
run rẩy,5
ớn lạnh,3
đau khớp,3
đau bụng,5
ợ chua,3
loét trên lưỡi,4
suy giảm cơ,3
nôn mửa,5
tiểu rát,6
tiểu ra máu,6
mệt mỏi,4
tăng cân,3
lo âu,4
tay và chân lạnh,5
tâm trạng thất thường,3
tụt cân,3
bồn chồn,5
hôn mê,2
có đờm trong họng,6
mức đường huyết không đều,5
ho,4
sốt cao,7
mắt thâm,3
khó thở,4
đổ mồ hôi,3
mất nước,4
khó tiêu,5
đau đầu,3
vàng da,3
nước tiểu sẫm màu,4
buồn nôn,5
mất cảm giác thèm ăn,4
đau sau mắt,4
đau lưng,3
táo bón,4
đau bụng,4
tiêu chảy,6
sốt nhẹ,5
nước tiểu màu vàng,4
mắt vàng,4
suy gan cấp tính,6
quá tải dịch,6
sưng dạ dày,7
hạch bạch huyết sưng,6
khó chịu,6
thị lực mờ,5
đờm,5
ngứa họng,4
đỏ mắt,5
đau xoang,4
sổ mũi,5
nghẹt mũi,5
đau ngực,7
mỏi tay chân,7
tim đập nhanh,5
đau khi đi tiểu,5
đau hậu môn,6
phân có máu,5
ngứa hậu môn,6
đau cổ,5
chóng mặt,4
chuột rút,4
bầm tím,4
béo phì,4
sưng chân,5
mạch máu sưng,5
mặt và mắt sưng phù,5
bướu cổ,6
móng tay giòn,5
sưng tay chân,5
cảm giác đói quá mức,4
quan hệ tình dục linh tinh,5
môi khô và ngứa ,4
nói lắp,4
đau đầu gối,3
đau khớp hông,2
yếu cơ,2
cổ cứng,4
sưng khớp,5
cứng cổ không xoay được,5
cứng cơ,6
chóng mặt,4
cơ thể mất cân bằng,4
yếu một bên cơ thể,4
mất khứu giác,3
khó chịu bàng quang,4
nước tiểu có mùi,5
cảm giác muốn đi tiểu liên tục,6
xì hơi,5
ngứa bên trong,4
biểu hiện nhiễm độc (typhos),5
trầm cảm,3
khó chịu,2
đau cơ,2
lú lẫn,2
nốt đỏ trên cơ thể,3
đau bụng,4
kinh nguyệt bất thường,6
các mảng da đổi màu,6
chảy nước mắt,4
cảm giác thèm ăn,5
đi tiểu nhiều,4
di truyền gia đình,5
đờm nhầy,4
gỉ đờm,4
mất tập trung,3
rối loạn thị giác,3
vừa truyền máu,5
vừa tiêm không vô trùng,2
hôn mê,7
chảy máu dạ dày,6
chướng bụng,4
nghiện rượu,5
quá tải dịch,4
đờm có máu,5
gân nổi rã lên bắp chân,6
đau ngực,4
đau khi đi bộ,2
nổi mụn mủ,2
mụn đầu đen,2
thiếu vitamin c,2
bong tróc da,3
da bị vẩy,2
móng tay chân bị lõm,2
viêm móng,2
mụn rộp,4
xung quanh mũi bị đỏ,2
rỉ ra vỏ màu vàng,3
Dự đoán,5
