,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Nhiễm trùng nấm,Ngừng kích ứng,Tư vấn bệnh viện gần nhất,Ngừng dùng thuốc,Theo dõi
1,Dị ứng,Tư vấn bệnh viện gần nhất,Tránh thức ăn nhiều dầu mỡ,Tránh thực phẩm không thuần chay,Đuổi muỗi ra ngoài
2,Bệnh trào ngược dạ dày,Bôi calamine,Che khu vực bằng băng,Với băng,Dùng đá để chườm ngứa
3,Ứ mật mãn tính,Giảm căng thẳng,Tập thể dục thường xuyên,Ăn uống lành mạnh,Ngủ đúng giấc
4,Phản ứng thuốc,Rửa tay bằng nước xà phòng ấm,Cầm máu bằng áp lực,Tham khảo ý kiến ​​bác sĩ,Tắm muối
5,Bệnh loét dạ dày tá tràng,Tránh đồ ăn cay nhiều dầu mỡ,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,Bài tập
6,AIDS,Tắm nước lạnh,Thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh
7,Bệnh tiểu đường,Tư vấn bệnh viện gần nhất,Rửa tay qua,Tránh đồ ăn cay nhiều dầu mỡ,Thuốc
8,Viêm dạ dày ruột,Acetaminophen,Tư vấn bệnh viện gần nhất,Theo dõi,Tắm muối
9,Hen phế quản,Nằm xuống,Tránh sự thay đổi đột ngột của cơ thể,Tránh chuyển động đầu đột ngột,Thư giãn
10,Tăng huyết áp,Nằm nghiêng sang một bên,Kiểm tra nhịp tim,Uống đồ uống có đường,Tham khảo ý kiến ​​bác sĩ
11,Chứng đau nửa đầu,Tắm hai lần,Tránh đồ ăn cay nhiều dầu mỡ,Uống nhiều nước,Tránh quá nhiều sản phẩm
12,Thoái hóa đốt sống cổ,Có chế độ ăn uống cân bằng,Bài tập,Tham khảo ý kiến ​​bác sĩ,Theo dõi
13,Liệt (xuất huyết não),Ngâm vùng bị ảnh hưởng trong nước ấm,Sử dụng kháng sinh,Loại bỏ vảy bằng vải nén ướt,Tham khảo ý kiến ​​bác sĩ
14,Vàng da,Thiền định,Tắm muối,Giảm căng thẳng,Ngủ đúng giấc
15,Sốt rét,Tránh đồ ăn cay nhiều dầu mỡ,Tiêu thụ thực phẩm sinh học,Loại bỏ sữa,Hạn chế rượu
16,Thủy đậu,Tránh đồ ăn cay nhiều dầu mỡ,Tiêu thụ cây phỉ,Tắm nước ấm với muối epsom,Uống nước ép nha đam
17,Sốt xuất huyết,Uống đồ uống giàu vitamin c,Lấy hơi,Tránh ăn đồ lạnh,Kiểm soát cơn sốt
