,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
1,Nhiễm trùng nấm,phát ban da,nổi mụn nút trên da,,
2,Nhiễm trùng nấm,ngứa,nổi mụn nút trên da,,
3,Nhiễm trùng nấm,ngứa,phát ban da,,
4,Nhiễm trùng nấm,ngứa,phát ban da,,
5,Nhiễm trùng nấm,phát ban da,nổi mụn nút trên da,,
6,Nhiễm trùng nấm,ngứa,nổi mụn nút trên da,,
7,Nhiễm trùng nấm,ngứa,phát ban da,,
8,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
9,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
10,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
11,Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,
12,Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,
13,Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,
14,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,
15,Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,
16,Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,
17,Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,
18,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,
19,Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt
20,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
21,Bệnh trào ngược dạ dày,đau bụng,loét trên miệng,nôn mửa,ho
22,Bệnh trào ngược dạ dày,đau bụng,ợ chua,nôn mửa,ho
23,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,ho
24,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
25,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,nôn mửa
26,Bệnh trào ngược dạ dày,ợ chua,loét trên miệng,nôn mửa,ho
27,Bệnh trào ngược dạ dày,đau bụng,loét trên miệng,nôn mửa,ho
28,Bệnh trào ngược dạ dày,đau bụng,ợ chua,nôn mửa,ho
29,Bệnh trào ngược dạ dày,đau bụng,ợ chua,loét trên miệng,ho
30,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
31,Ứ mật mãn tính,nôn mửa,vàng da,buồn nôn,không thèm ăn
32,Ứ mật mãn tính,ngứa,vàng da,buồn nôn,không thèm ăn
33,Ứ mật mãn tính,ngứa,nôn mửa,buồn nôn,không thèm ăn
34,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,không thèm ăn
35,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
36,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
37,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
38,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
39,Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn
40,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
41,Phản ứng thuốc,ngứa,đau bụng,đi tiểu rát,
42,Phản ứng thuốc,ngứa,phát ban da,đi tiểu rát,đi tiểu thẫm
43,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu thẫm
44,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
45,Phản ứng thuốc,phát ban da,đau bụng,đi tiểu rát,đi tiểu thẫm
46,Phản ứng thuốc,ngứa,đau bụng,đi tiểu rát,đi tiểu thẫm
47,Phản ứng thuốc,ngứa,phát ban da,đi tiểu rát,đi tiểu thẫm
48,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu thẫm
49,Phản ứng thuốc,ngứa,phát ban da,đau bụng,đi tiểu rát
50,Bệnh loét dạ dày tá tràng,nôn mửa,không thèm ăn,đau bụng,xì hơi
51,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,đau bụng,xì hơi
52,Bệnh loét dạ dày tá tràng,khó tiêu,không thèm ăn,đau bụng,xì hơi
53,Bệnh loét dạ dày tá tràng,nôn mửa,không thèm ăn,đau bụng,xì hơi
54,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,đau bụng,xì hơi
55,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,xì hơi
56,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
57,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
58,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
59,Bệnh loét dạ dày tá tràng,nôn mửa,khó tiêu,không thèm ăn,đau bụng
60,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
61,AIDS,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh,
62,AIDS,suy giảm cơ,sốt cao,quan hệ tình dục linh tinh,
63,AIDS,suy giảm cơ,có đờm trong họng,quan hệ tình dục linh tinh,
64,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,
65,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
66,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh
67,AIDS,có đờm trong họng,sốt cao,quan hệ tình dục linh tinh,
68,AIDS,suy giảm cơ,sốt cao,quan hệ tình dục linh tinh,
69,AIDS,suy giảm cơ,có đờm trong họng,sốt cao,
70,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
71,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
72,Bệnh tiểu đường,tụt cân,bồn chồn,hôn mê,mức đường huyết không đều
73,Bệnh tiểu đường,mệt mỏi,bồn chồn,hôn mê,mức đường huyết không đều
74,Bệnh tiểu đường,mệt mỏi,tụt cân,hôn mê,mức đường huyết không đều
75,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,mức đường huyết không đều
76,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
77,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
78,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
79,Bệnh tiểu đường,mệt mỏi,tụt cân,bồn chồn,hôn mê
80,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
81,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
82,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
83,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
84,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
85,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,
86,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,
87,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
88,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
89,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
90,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
91,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
92,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
93,Hen phế quản,mệt mỏi,ho,khó thở,di tuyền gia đình
94,Hen phế quản,mệt mỏi,ho,sốt cao,di tuyền gia đình
95,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
96,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
97,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
98,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
99,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
100,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
101,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
102,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
103,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
104,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
105,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
106,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
107,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
108,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
109,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
110,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
111,Chứng đau nửa đầu,khó tiêu,đau đầu,thị lực mờ,cảm giác đói quá mức
112,Chứng đau nửa đầu,ợ chua,đau đầu,thị lực mờ,cảm giác đói quá mức
113,Chứng đau nửa đầu,ợ chua,khó tiêu,thị lực mờ,cảm giác đói quá mức
114,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,cảm giác đói quá mức
115,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
116,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
117,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
118,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
119,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
120,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
121,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
122,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
123,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
124,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,chóng mặt,chóng mặt
125,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
126,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
127,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
128,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
129,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
130,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
131,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
132,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
133,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
134,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
135,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,
136,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
137,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
138,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
139,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
140,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
141,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
142,Vàng da,nôn mửa,mệt mỏi,tụt cân,sốt cao
143,Vàng da,ngứa,mệt mỏi,tụt cân,sốt cao
144,Vàng da,ngứa,nôn mửa,tụt cân,sốt cao
145,Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao
146,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
147,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
148,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
149,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
150,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
151,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
152,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
153,Sốt rét,nôn mửa,sốt cao,đổ mồ hôi,đau đầu
154,Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,đau đầu
155,Sốt rét,ớn lạnh,nôn mửa,đổ mồ hôi,đau đầu
156,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đau đầu
157,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
158,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
159,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
160,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
161,Thủy đậu,phát ban da,mệt mỏi,hôn mê,sốt cao
162,Thủy đậu,ngứa,mệt mỏi,hôn mê,sốt cao
163,Thủy đậu,ngứa,phát ban da,hôn mê,sốt cao
164,Thủy đậu,ngứa,phát ban da,mệt mỏi,sốt cao
165,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
166,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
167,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
168,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
169,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
170,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
171,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
172,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
173,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
174,Sốt xuất huyết,ớn lạnh,đau khớp,nôn mửa,mệt mỏi
175,Sốt xuất huyết,phát ban da,đau khớp,nôn mửa,mệt mỏi
176,Sốt xuất huyết,phát ban da,ớn lạnh,nôn mửa,mệt mỏi
177,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,mệt mỏi
