,disease,workout
0,Nhiễm trùng nấm,Tránh thực phẩm có đường
1,Nhiễm trùng nấm,Tiêu thụ men vi sinh
2,Nhiễm trùng nấm,Tăng cường ăn tỏi
3,Nhiễm trùng nấm,Thêm sữa chua vào chế độ ăn
4,Nhiễm trùng nấm,Hạn chế thực phẩm chế biến sẵn
5,Nhiễm trùng nấm,Giữ nước
6,Nhiễm trùng nấm,Tiêu thụ trà xanh
7,Nhiễm trùng nấm,Ăn thực phẩm giàu kẽm
8,Nhiễm trùng nấm,Thêm nghệ vào chế độ ăn uống
9,Nhiễm trùng nấm,Ăn trái cây và rau quả
10,Dị ứng,Tránh thực phẩm gây dị ứng
11,Dị ứng,Tiêu thụ thực phẩm chống viêm
12,Dị ứng,Bao gồm axit béo omega-3
13,Dị ứng,Giữ nước
14,Dị ứng,Ăn thực phẩm giàu vitamin C
15,Dị ứng,Bổ sung thực phẩm giàu quercetin
16,Dị ứng,Tiêu thụ mật ong địa phương
17,Dị ứng,Hạn chế thực phẩm chế biến sẵn
18,Dị ứng,Thêm gừng vào chế độ ăn uống
19,Dị ứng,Tránh các chất phụ gia nhân tạo
20,Bệnh trào ngược dạ dày,Ăn nhiều bữa nhỏ hơn
21,Bệnh trào ngược dạ dày,"Tránh các thực phẩm kích thích (cay, béo)"
22,Bệnh trào ngược dạ dày,Ăn thực phẩm giàu chất xơ
23,Bệnh trào ngược dạ dày,Hạn chế caffeine và rượu
24,Bệnh trào ngược dạ dày,Nhai kỹ thức ăn
25,Bệnh trào ngược dạ dày,Tránh ăn khuya
26,Bệnh trào ngược dạ dày,Ăn trái cây không có múi
27,Bệnh trào ngược dạ dày,Bao gồm protein nạc
28,Bệnh trào ngược dạ dày,Giữ nước
29,Bệnh trào ngược dạ dày,Tránh đồ uống có ga
30,Ứ mật mãn tính,Áp dụng chế độ ăn ít chất béo
31,Ứ mật mãn tính,Ăn thực phẩm giàu chất xơ
32,Ứ mật mãn tính,Bao gồm chất béo lành mạnh
33,Ứ mật mãn tính,Hạn chế uống rượu
34,Ứ mật mãn tính,Giữ nước
35,Ứ mật mãn tính,Tiêu thụ thực phẩm giàu chất chống oxy hóa
36,Ứ mật mãn tính,Bao gồm axit béo omega-3
37,Ứ mật mãn tính,Bao gồm protein nạc
38,Ứ mật mãn tính,Hạn chế thực phẩm chế biến sẵn
39,Ứ mật mãn tính,Tránh thực phẩm chiên
40,Phản ứng thuốc,Ngừng dùng thuốc vi phạm
41,Phản ứng thuốc,Giữ nước
42,Phản ứng thuốc,Bổ sung thực phẩm chống viêm
43,Phản ứng thuốc,Tiêu thụ chất chống oxy hóa
44,Phản ứng thuốc,Tránh thực phẩm kích hoạt
45,Phản ứng thuốc,Bao gồm axit béo omega-3
46,Phản ứng thuốc,Hạn chế caffeine và rượu
47,Phản ứng thuốc,Giữ nước
48,Phản ứng thuốc,Ăn một chế độ ăn uống cân bằng
